Player,Team,Gms,Att,Cmp,Pct,Yds,YPA,TD,TD%T%,Int,Int%I%,Lg,Sack,Loss,Rate
Patrick Mahomes,KC,9,366,245,66.9,2,936,8.0,25,6.8,7,1.9,57,16,111,106.1
Tom Brady,TB,10,427,282,66.0,2,805,6.6,12,2.8,2,0.5,51,14,107,91.9
Josh Allen,BUF,9,341,220,64.5,2,733,8.0,20,5.9,10,2.9,98t,18,93,96.6
Joe Burrow,CIN,9,333,233,70.0,2,535,7.6,18,5.4,6,1.8,60t,30,201,102.6
Geno Smith,SEA,10,316,230,72.8,2,474,7.8,17,5.4,4,1.3,54,24,196,108.0
Justin Herbert,LAC,9,386,254,65.8,2,450,6.3,14,3.6,6,1.6,54,12,61,89.0
Kirk Cousins,MIN,9,354,227,64.1,2,356,6.7,14,4.0,8,2.3,64,20,150,87.0
Trevor Lawrence,JAX,10,348,227,65.2,2,334,6.7,13,3.7,6,1.7,49,17,108,89.7
Aaron Rodgers,GB,10,337,219,65.0,2,315,6.9,17,5.0,7,2.1,58t,20,158,93.0
Jared Goff,DET,9,301,192,63.8,2,277,7.6,15,5.0,7,2.3,81,15,110,93.7
Tua Tagovailoa,MIA,8,248,176,71.0,2,265,9.1,18,7.3,3,1.2,60t,8,66,118.4
Matt Ryan,IND,8,325,224,68.9,2,230,6.9,10,3.1,9,2.8,44,25,198,86.8
Kyler Murray,ARI,9,360,240,66.7,2,168,6.0,12,3.3,6,1.7,38t,24,186,86.9
Derek Carr,LV,9,311,194,62.4,2,128,6.8,13,4.2,5,1.6,60,19,129,89.8
Jacoby Brissett,CLE,9,290,185,63.8,2,074,7.2,8,2.8,5,1.7,55,19,120,87.1
Jalen Hurts,PHI,8,239,163,68.2,2,042,8.5,12,5.0,2,0.8,54,22,127,107.8
Russell Wilson,DEN,8,270,155,57.4,1,980,7.3,7,2.6,5,1.9,67t,29,187,81.4
Davis Mills,HOU,9,295,184,62.4,1,975,6.7,11,3.7,9,3.0,58,23,180,81.7
Jimmy Garoppolo,SF,8,238,159,66.8,1,931,8.1,11,4.6,4,1.7,57t,16,89,100.0
Matthew Stafford,LA,8,285,195,68.4,1,928,6.8,8,2.8,8,2.8,75t,28,199,84.9
Lamar Jackson,BAL,9,257,160,62.3,1,768,6.9,16,6.2,6,2.3,75t,20,87,93.7
