WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,MIA,21,30,70,213,7.1,1,1,87.22,2,0,0,0,8.5,8.52
2,PIT,21,35,60,252,7.2,1,1,79.7,7,6,0.9,0,12.7,12.68
3,BAL,22,32,68.8,321,10,0,3,62.11,5,31,6.2,1,15.9,15.94
7,CHI,3,6,50,13,2.2,0,1,16.67,3,24,8,0,0.9,0.92
8,NYJ,24,35,68.6,194,5.5,1,1,79.94,7,19,2.7,0,11.7,11.66
9,IND,20,30,66.7,147,4.9,1,0,89.17,1,-2,-2,0,9.7,9.68
11,NYJ,23,27,85.2,246,9.1,0,0,104.63,2,3,1.5,0,10.1,10.14
12,MIN,28,39,71.8,382,9.8,2,0,119.82,0,0,0,0,23.3,23.28
