WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
4,MIN,20,28,71.4,236,8.4,1,0,108.63,1,3,3,0,13.7,13.74
5,SEA,16,24,66.7,187,7.8,1,1,86.63,7,4,0.6,0,9.9,9.88
6,CIN,17,32,53.1,162,5.1,1,0,77.86,0,0,0,0,10.5,10.48
7,ARI,30,47,63.8,361,7.7,4,3,89.05,4,21,5.2,0,26.5,26.54
8,LV,22,30,73.3,229,7.6,2,0,117.22,0,0,0,0,17.2,17.16
9,BAL,19,29,65.5,210,7.2,1,1,83.98,2,5,2.5,0,10.9,10.9
10,PIT,17,27,63,174,6.4,1,2,62.89,3,1,0.3,0,7.1,7.06
11,LAR,21,25,84,260,10.4,3,0,149.58,2,-2,-1,0,22.2,22.2
12,SF,18,29,62.1,204,7,0,0,83.12,4,21,5.2,0,10.3,10.26
