Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD,FD
Kenny Pickett,PIT,5,19,98,5.16,19.6,16,2,9
Chuba Hubbard,CAR,7,15,97,6.47,13.9,17t,1,6
J.D. McKissic,WAS,8,22,95,4.32,11.9,33,0,5
Zack Moss,BUF,5,17,91,5.35,18.2,43,0,3
JaMycal Hasty,JAX,9,12,88,7.33,9.8,61t,1,2
Braxton Berrios,NYJ,9,7,82,11.71,9.1,25,2,4
Mike Boone,DEN,7,15,82,5.47,11.7,18,0,4
Rex Burkhead,HOU,8,23,81,3.52,10.1,9,0,4
Carson Wentz,WAS,6,19,79,4.16,13.2,18,0,3
Mac Jones,NE,6,25,78,3.12,13.0,15,1,7
Matt Breida,NYG,8,23,73,3.17,9.1,13,0,5
Boston Scott,PHI,6,24,71,2.96,11.8,16,1,4
Amon-Ra St. Brown,DET,7,2,68,34.00,9.7,58,0,1
Malik Willis,TEN,4,17,68,4.00,17.0,17,0,2
Zach Wilson,NYJ,6,21,68,3.24,11.3,18,1,5
Derek Carr,LV,8,15,67,4.47,8.4,20,0,7
Trey Lance,SF,2,16,67,4.19,33.5,13,0,7
DeeJay Dallas,SEA,9,13,65,5.00,7.2,16,0,4
Aaron Rodgers,GB,9,14,60,4.29,6.7,18,0,4
Chase Claypool,PIT/CHI,9,9,59,6.56,6.6,15,0,3
Avery Williams,ATL,9,10,58,5.80,6.4,21,1,3
Devin Duvernay,BAL,9,7,55,7.86,6.1,18,1,4
Sam Ehlinger,IND,2,11,54,4.91,27.0,19,0,3
Jonathan Williams,WAS,6,6,54,9.00,9.0,23,0,3
Cooper Kupp,LA,8,9,52,5.78,6.5,20t,1,4
Justin Herbert,LAC,8,22,51,2.32,6.4,14,0,4
Taylor Heinicke,WAS,3,12,50,4.17,16.7,9,1,2
Phillip Lindsay,IND,3,15,49,3.27,16.3,15,0,1
Trestan Ebner,CHI,9,18,46,2.56,5.1,11,0,2
Justin Jackson,DET,8,12,46,3.83,5.8,11,0,2
Dak Prescott,DAL,3,10,45,4.50,15.0,25,1,3
Rashid Shaheed,NO,4,1,44,44.00,11.0,44t,1,1
Equanimeous St. Brown,CHI,9,3,44,14.67,4.9,41,0,1
Spencer Brown,CAR,2,9,43,4.78,21.5,7,0,1
Hassan Haskins,TEN,8,10,42,4.20,5.2,9,0,2
Velus Jones,CHI,5,3,41,13.67,8.2,18,0,3
Elijah Mitchell,SF,1,6,41,6.83,41.0,16,0,2
Baker Mayfield,CAR,6,14,40,2.86,6.7,17,1,4
D.J. Moore,CAR,9,7,39,5.57,4.3,11,0,1
Kirk Cousins,MIN,8,15,38,2.53,4.8,17t,2,6
Dwayne Washington,NO,8,11,38,3.45,4.8,8,0,2
Tyrion Davis-Price,SF,3,16,37,2.31,12.3,20,0,2
Nyheim Hines,IND,7,18,36,2.00,5.1,9,1,2
Travis Homer,SEA,5,7,35,5.00,7.0,7,0,2
Tua Tagovailoa,MIA,7,18,35,1.94,5.0,18,0,2
Brandon Bolden,LV,7,8,34,4.25,4.9,12,0,1
Malcolm Brown,LA,5,14,34,2.43,6.8,10,0,0
Andy Dalton,NO,6,14,33,2.36,5.5,14,0,4
Mecole Hardman,KC,8,4,31,7.75,3.9,25t,2,3
Tyrod Taylor,NYG,1,3,30,10.00,30.0,13,0,3
Montrell Washington,DEN,8,3,30,10.00,3.8,19,0,0
Jamal Agnew,JAX,7,5,29,5.80,4.1,19,0,2
Parris Campbell,IND,9,2,29,14.50,3.2,28,0,1
Jared Goff,DET,8,13,29,2.23,3.6,10,0,1
Dante Pettis,CHI,9,1,29,29.00,3.2,29,0,1
Ryan Tannehill,TEN,6,19,29,1.53,4.8,9,1,5
Mitchell Trubisky,PIT,5,13,29,2.23,5.8,9,1,3
Davis Mills,HOU,8,12,28,2.33,3.5,8,0,1
Tevin Coleman,SF,4,12,26,2.17,6.5,14,1,2
Ty Johnson,NYJ,9,5,26,5.20,2.9,12,0,0
Tyreek Hill,MIA,9,5,25,5.00,2.8,10,0,2
Phillip Walker,CAR,5,3,25,8.33,5.0,20,0,1
Armani Rogers,WAS,9,1,24,24.00,2.7,24,0,1
Isaiah Spiller,LAC,2,8,24,3.00,12.0,7,0,1
Malik Davis,DAL,3,8,23,2.88,7.7,8,0,0
Jimmy Garoppolo,SF,7,13,23,1.77,3.3,6,1,7
KJ Hamler,DEN,7,2,23,11.50,3.3,14,0,1
Keaontay Ingram,ARI,4,13,23,1.77,5.8,11,1,2
Kalif Raymond,DET,8,3,23,7.67,2.9,12,0,1
Kadarius Toney,NYG,2,2,23,11.50,11.5,19,0,1
Diontae Johnson,PIT,8,5,22,4.40,2.8,8,0,0
Teddy Bridgewater,MIA,4,2,21,10.50,5.2,11,0,2
Zay Jones,JAX,8,3,21,7.00,2.6,14,0,1
Ronnie Rivers,LA,3,9,21,2.33,7.0,5,0,1
Trace McSorley,ARI,1,3,20,6.67,20.0,14,0,1
Anthony Schwartz,CLE,7,2,20,10.00,2.9,15,0,1
D.J. Turner,LV,4,3,20,6.67,5.0,18,0,1
Zamir White,LV,8,6,20,3.33,2.5,22,0,1
Gary Brightwell,NYG,8,4,19,4.75,2.4,14,1,2
Trey Sermon,PHI,2,2,19,9.50,9.5,14,0,2
Christian Watson,GB,6,3,19,6.33,3.2,15t,1,1
Mike Davis,BAL,7,8,18,2.25,2.6,10,0,1
Gunner Olszewski,PIT,7,2,18,9.00,2.6,18,0,1
Trent Taylor,CIN,9,3,18,6.00,2.0,9,0,0
D'Ernest Johnson,CLE,6,4,17,4.25,2.8,7,0,1
Julio Jones,TB,4,3,17,5.67,4.2,12,0,2
Isaiah McKenzie,BUF,7,4,17,4.25,2.4,9,1,2
Jalen Reagor,MIN,8,1,17,17.00,2.1,17,0,1
Bennett Skowronek,LA,8,1,17,17.00,2.1,17t,1,1
KaVontae Turpin,DAL,8,3,17,5.67,2.1,11,0,1
Jaylen Waddle,MIA,9,2,17,8.50,1.9,9,0,0
Steven Sims,PIT,3,3,16,5.33,5.3,11,0,1
Tyquan Thornton,NE,5,3,16,5.33,3.2,19t,1,1
Jameis Winston,NO,3,5,16,3.20,5.3,6,0,0
Kendrick Bourne,NE,8,3,15,5.00,1.9,15,0,1
Jeff Driskel,HOU,2,2,15,7.50,7.5,10,0,2
Justin Jefferson,MIN,8,2,13,6.50,1.6,10,1,2
C.J. Moore,DET,2,1,13,13.00,6.5,13,0,1
Jordan Wilkins,IND,1,3,13,4.33,13.0,5,0,1
Treylon Burks,TEN,4,2,12,6.00,3.0,8,0,1
Christian Kirk,JAX,9,3,12,4.00,1.3,5,0,0
CeeDee Lamb,DAL,8,5,12,2.40,1.5,8,0,1
Romeo Doubs,GB,9,1,11,11.00,1.2,11,0,1
Trenton Irwin,CIN,2,1,11,11.00,5.5,11,0,1
Terry McLaurin,WAS,9,4,11,2.75,1.2,7,0,1
Matt Ryan,IND,7,12,11,0.92,1.6,10,0,3
D'Wayne Eskridge,SEA,9,2,10,5.00,1.1,6,0,0
Kyle Juszczyk,SF,7,3,10,3.33,1.4,9,1,2
Patrick Ricard,BAL,9,4,10,2.50,1.1,5,0,3
Chatarius Atwell,LA,5,1,9,9.00,1.8,9,0,0
Raheem Blackshear,CAR,5,9,9,1.00,1.8,5,1,2
Myles Gaskin,MIA,2,4,9,2.25,4.5,6,0,1
Cole Kmet,CHI,9,2,9,4.50,1.0,8,0,1
Jakobi Meyers,NE,7,2,9,4.50,1.3,7,0,2
Brett Rypien,DEN,1,3,9,3.00,9.0,6,0,2
J.J. Taylor,NE,1,10,9,0.90,9.0,5,0,0
Skylar Thompson,MIA,2,1,9,9.00,4.5,9,0,1
Michael Burton,KC,8,3,8,2.67,1.0,6,0,2
Tony Jones,NO,2,2,8,4.00,4.0,6,0,0
Scott Miller,TB,7,1,8,8.00,1.1,8,0,0
Dare Ogunbowale,HOU,8,1,8,8.00,1.0,8,0,1
Cedrick Wilson,MIA,8,1,8,8.00,1.0,8,0,0
Brandon Aiyuk,SF,8,1,7,7.00,0.9,7,0,0
Mark Andrews,BAL,8,2,7,3.50,0.9,4,0,2
Kylin Hill,GB,1,1,7,7.00,7.0,7,0,1
Jordan Mason,SF,7,1,7,7.00,1.0,7,0,0
Joe Flacco,NYJ,3,3,6,2.00,2.0,7,0,1
Alec Ingold,MIA,9,5,6,1.20,0.7,2,1,4
Richie James,NYG,8,2,6,3.00,0.8,4,0,0
Cooper Rush,DAL,6,9,6,0.67,1.0,6,0,1
Laviska Shenault,CAR,5,3,6,2.00,1.2,4,0,0
Chris Godwin,TB,7,3,5,1.67,0.7,2,0,0
Kevin Harris,NE,1,3,5,1.67,5.0,3,0,0
Alexander Horvath,LAC,8,3,5,1.67,0.6,3,0,1
Travis Kelce,KC,8,2,5,2.50,0.6,4,0,1
Matthew Stafford,LA,8,12,5,0.42,0.6,4,1,3
Pierre Strong,NE,7,1,5,5.00,0.7,5,0,0
Courtland Sutton,DEN,8,1,5,5.00,0.6,5,0,0
Garrett Wilson,NYJ,9,2,5,2.50,0.6,7,0,0
Marcus Allen,PIT,8,1,4,4.00,0.5,4,0,1
Greg Dortch,ARI,9,2,4,2.00,0.4,3,0,0
Josh Palmer,LAC,7,1,4,4.00,0.6,4,0,1
Ke'Shawn Vaughn,TB,7,2,4,2.00,0.6,5,0,0
Ashton Dulin,IND,5,1,3,3.00,0.6,3,0,0
C.J. Ham,MIN,8,1,3,3.00,0.4,3,0,1
M.J. Stewart,HOU,8,1,3,3.00,0.4,3,0,1
Salvon Ahmed,MIA,6,1,2,2.00,0.3,2,0,0
Daniel Bellinger,NYG,7,1,2,2.00,0.3,2t,1,1
Ja'Marr Chase,CIN,7,4,2,0.50,0.3,4,0,0
Jaelon Darden,TB,9,1,2,2.00,0.2,2,0,0
Ashtyn Davis,NYJ,8,1,2,2.00,0.2,2,0,1
Darnell Mooney,CHI,9,1,2,2.00,0.2,2,0,0
Chris Moore,HOU,7,1,2,2.00,0.3,2,0,0
Foster Moreau,LV,6,0,2,0.00,0.3,2,0,0
Devine Ozigbo,DEN,2,1,2,2.00,1.0,2,0,0
Donovan Peoples-Jones,CLE,8,1,2,2.00,0.2,2,0,0
Brandon Powell,LA,8,7,2,0.29,0.2,11,0,1
Keith Smith,ATL,9,1,2,2.00,0.2,2,0,1
Derek Watt,PIT,8,1,2,2.00,0.2,2,0,1
