Player	Team	Gms	Rec	Yds	Avg	YPG	Lg	TD	FD	Tar	YAC
Rashid Shaheed	NO	5	5	103	20.60	20.6	53t	1	4	6	22
Cam Sims	WAS	9	5	58	11.60	6.4	21	0	3	12	19
Andre Baccellia	ARI	5	4	25	6.25	5.0	11	0	2	6	9
Cole Beasley	TB	2	4	17	4.25	8.5	5	0	1	5	10
Raheem Blackshear	CAR	6	4	40	10.00	6.7	27	0	1	4	41
Tyler Davis	GB	10	4	26	6.50	2.6	23	0	1	6	27
D'Onta Foreman	CAR	10	4	25	6.25	2.5	23	0	1	7	27
Joe Fortson	KC	8	4	25	6.25	3.1	10t	2	3	6	10
N'Keal Harry	CHI	3	4	44	11.00	14.7	17t	1	2	5	10
Justin Jackson	DET	9	4	18	4.50	2.0	8	1	1	6	21
Ko Kieft	TB	10	4	52	13.00	5.2	19	0	2	5	13
Jake Kumerow	BUF	6	4	64	16.00	10.7	39	0	4	7	17
Trey McBride	ARI	9	4	31	7.75	3.4	11	0	1	4	14
Denzel Mims	NYJ	3	4	92	23.00	30.7	63	0	3	9	56
James Mitchell	DET	6	4	26	6.50	4.3	14	1	3	4	17
Rashaad Penny	SEA	5	4	16	4.00	3.2	6	0	2	5	28
Brian Robinson	WAS	5	4	7	1.75	1.4	7	0	0	4	22
Amari Rodgers	GB	10	4	50	12.50	5.0	22	0	3	8	16
Jeff Smith	NYJ	9	4	57	14.25	6.3	23	0	3	6	28
Samori Toure	GB	4	4	75	18.75	18.8	37t	1	2	9	8
Jordan Wilkins	IND	2	4	15	3.75	7.5	9	0	0	5	26
Darrel Williams	ARI	6	4	9	2.25	1.5	6	0	0	8	15
Andrew Beck	DEN	8	3	59	19.67	7.4	27	0	2	6	38
Dyami Brown	WAS	7	3	111	37.00	15.9	75t	2	3	10	31
Keelan Cole	LV	6	3	42	14.00	7.0	18	0	3	11	16
Tevin Coleman	SF	4	3	44	14.67	11.0	30	1	2	3	20
Ross Dwelley	SF	9	3	105	35.00	11.7	56	1	3	5	43
Bryan Edwards	ATL	7	3	15	5.00	2.1	10	0	0	5	9
Ben Ellefson	MIN	4	3	26	8.67	6.5	12	0	2	3	11
Simi Fehoko	DAL	5	3	24	8.00	4.8	12	0	1	4	10
Anthony Firkser	ATL	5	3	39	13.00	7.8	22	0	2	4	10
Myles Gaskin	MIA	2	3	24	8.00	12.0	16	0	0	5	19
Ryan Griffin	CHI	8	3	24	8.00	3.0	18	0	1	6	9
Troy Hairston	HOU	9	3	12	4.00	1.3	5	0	0	4	6
C.J. Ham	MIN	9	3	21	7.00	2.3	12	0	2	5	26
Hassan Haskins	TEN	9	3	7	2.33	0.8	5	0	0	3	18
