Player	Team	Gms	Rec	Yds	Avg	YPG	Lg	TD	FD	Tar	YAC
Romeo Doubs	GB	9	31	314	10.13	34.9	26	3	12	50	155
Antonio Gibson	WAS	9	31	239	7.71	26.6	26	2	13	38	192
Josh Jacobs	LV	9	31	200	6.45	22.2	16	0	10	37	223
Noah Fant	SEA	10	30	306	10.20	30.6	51	1	13	38	175
Mack Hollins	LV	9	30	416	13.87	46.2	60	2	20	50	109
Jerry Jeudy	DEN	9	30	449	14.97	49.9	67t	3	21	55	215
Saquon Barkley	NYG	9	29	197	6.79	21.9	41	0	4	36	230
Russell Gage	TB	7	29	231	7.97	33.0	20	1	13	40	94
George Kittle	SF	7	29	340	11.72	48.6	34	2	15	41	168
George Pickens	PIT	9	29	370	12.76	41.1	36	1	19	47	64
Allen Robinson	LA	9	29	292	10.07	32.4	29	2	19	47	60
DeAndre Carter	LAC	9	28	346	12.36	38.4	35	2	20	38	107
Juwan Johnson	NO	10	28	302	10.79	30.2	41t	4	13	43	111
Marvin Jones	JAX	9	28	346	12.36	38.4	37	1	19	50	60
Devin Singletary	BUF	9	28	207	7.39	23.0	22	1	13	37	201
Rex Burkhead	HOU	9	27	159	5.89	17.7	15	1	7	35	159
J.D. McKissic	WAS	8	27	173	6.41	21.6	14	0	7	40	152
Noah Brown	DAL	8	26	342	13.15	42.8	45	1	16	42	90
Will Dissly	SEA	10	26	258	9.92	25.8	38t	3	15	28	150
Nyheim Hines	BUF/IND	9	26	197	7.58	21.9	22	0	8	30	158
Cade Otton	TB	9	26	281	10.81	31.2	35	1	13	35	118
Josh Reynolds	DET	7	26	357	13.73	51.0	31	2	17	42	90
Dalton Schultz	DAL	7	26	257	9.88	36.7	30	1	9	37	84
Bennett Skowronek	LA	9	26	245	9.42	27.2	32	0	10	39	109
Marquez Valdes-Scantling	KC	9	26	441	16.96	49.0	57	1	19	43	101
Michael Carter	NYJ	9	25	196	7.84	21.8	37	0	9	32	214
Greg Dortch	ARI	10	25	221	8.84	22.1	30	2	12	29	128
Devin Duvernay	BAL	9	25	318	12.72	35.3	31	3	16	33	110
Mecole Hardman	KC	8	25	297	11.88	37.1	36	4	14	34	160
Jerick McKinnon	KC	9	25	212	8.48	23.6	34	1	10	33	225
K.J. Osborn	MIN	9	25	220	8.80	24.4	28t	2	9	44	71
Alec Pierce	IND	9	25	396	15.84	44.0	47	1	18	42	69
Kyle Pitts	ATL	9	25	313	12.52	34.8	33	2	18	54	107
Eno Benjamin	ARI	10	24	184	7.67	18.4	22	0	10	33	222
Gabriel Davis	BUF	8	24	544	22.67	68.0	98t	5	19	47	121
Mike Gesicki	MIA	10	24	269	11.21	26.9	30	4	15	35	80
Kylen Granson	IND	10	24	233	9.71	23.3	32	0	13	31	120
Najee Harris	PIT	9	24	112	4.67	12.4	14	2	8	29	125
Dawson Knox	BUF	8	24	240	10.00	30.0	22	2	13	33	91
Isaiah McKenzie	BUF	8	24	219	9.13	27.4	28	3	14	35	76
Robert Woods	TEN	9	24	266	11.08	29.6	41	1	17	43	86
Olamide Zaccheaus	ATL	10	24	365	15.21	36.5	42	2	19	29	106
