WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,NE,23,33,69.7,270,8.2,1,0,104.36,2,0,0,0,14.8,14.8
2,BAL,36,50,72,469,9.4,6,2,124.08,1,1,1,0,38.9,38.86
3,BUF,13,18,72.2,186,10.3,1,0,123.84,1,0,0,0,11.4,11.44
4,CIN,8,14,57.1,110,7.9,0,1,52.68,0,0,0,0,2.4,2.4
7,PIT,21,35,60,261,7.5,1,0,92.68,4,15,3.8,0,15.9,15.94
8,DET,29,36,80.6,382,10.6,3,0,138.66,5,19,3.8,0,29.2,29.18
9,CHI,21,30,70,302,10.1,3,0,135.69,5,0,0,0,24.1,24.08
10,CLE,25,32,78.1,285,8.9,3,0,135.03,1,0,0,0,23.4,23.4
12,HOU,22,36,61.1,299,8.3,1,0,96.88,0,0,0,0,16,15.96
