WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
4,NYJ,10,13,76.9,120,9.2,0,3,65.06,6,15,2.5,2,12.3,12.3
5,BUF,34,52,65.4,327,6.3,0,1,74.76,1,10,10,0,12.1,12.08
6,TB,11,18,61.1,67,3.7,1,0,87.04,2,16,8,0,8.3,8.28
7,MIA,32,44,72.7,257,5.8,1,3,66.19,3,20,6.7,0,10.3,10.28
8,PHI,25,38,65.8,191,5,0,1,66.89,7,37,5.3,0,7.3,7.34
10,NO,18,30,60,199,6.6,0,0,79.72,8,51,6.4,1,19.1,19.06
11,CIN,25,42,59.5,265,6.3,1,0,85.91,2,14,7,0,16,16
12,IND,20,28,71.4,174,6.2,0,0,87.5,6,32,5.3,0,12.2,12.16
