WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,NYG,20,33,60.6,266,8.1,2,0,106.38,2,7,3.5,0,19.3,19.34
2,BUF,11,20,55,117,5.8,0,2,32.71,1,2,2,0,0.9,0.88
3,LV,19,27,70.4,264,9.8,1,1,98.38,4,2,0.5,1,18.8,18.76
4,IND,17,21,81,137,6.5,2,0,125.6,5,9,1.8,0,14.4,14.38
5,WAS,15,25,60,181,7.2,1,0,95.58,3,3,1,0,11.5,11.54
7,IND,13,20,65,132,6.6,0,0,83.75,4,6,1.5,0,3.9,3.88
10,DEN,19,36,52.8,255,7.1,2,0,94.1,2,12,6,0,19.4,19.4
11,GB,22,27,81.5,333,12.3,2,1,127.31,3,-3,-1,0,19,19.02
12,CIN,22,34,64.7,291,8.6,0,0,91.67,2,9,4.5,0,12.5,12.54
