WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,BUF,29,41,70.7,240,5.9,1,3,63.06,1,2,2,0,7.8,7.8
2,ATL,27,36,75,272,7.6,3,2,100.69,0,0,0,0,18.9,18.88
3,ARI,18,25,72,249,10,0,0,103.58,3,2,0.7,0,10.2,10.16
4,SF,32,48,66.7,254,5.3,0,1,71.01,2,6,3,0,6.8,6.76
5,DAL,28,42,66.7,308,7.3,1,1,86.21,0,0,0,0,10.3,10.32
6,CAR,26,33,78.8,253,7.7,1,1,96.09,2,-3,-1.5,0,11.8,11.82
8,SF,22,33,66.7,187,5.7,1,0,91.35,2,-1,-0.5,1,17.4,17.38
9,TB,13,27,48.1,165,6.1,1,0,80.02,2,-1,-0.5,0,10.5,10.5
11,NO,11,18,61.1,159,8.8,2,0,126.85,1,4,4,0,14.8,14.76
